current_model_size,mean_confidence,bottom_window_confidence,tail_confidence,least_grouped_confidence,target_class
4,7.893,6.007991416,6.420006836,4.811,0
4,8.941,7.312531658,10.24672363,6.2,1
4,9.584,8.650432247,9.80071582,8.232,1
4,8.535,7.297685109,9.320969238,7.021,0
4,11.608,11.45615984,11.64992285,10.66,0
4,9.067,7.429854223,7.943567383,6.309,0
4,7.024,5.446805726,7.172527344,5.174,0
4,7.248,5.936352421,6.448609863,5.617,0
4,9.659,9.658743649,9.658743649,9.658743649,0
4,7.595,5.131023189,5.669325195,4.551,0
4,11.872,11.87211739,11.87211739,11.223,0
4,11.455,10.95534716,11.31096484,9.687,0
4,7.512,6.168707167,8.743961426,5.843,1
4,7.052,6.194656191,7.985458008,5.225,1
4,9.654,8.214204155,9.97925,6.997,0
4,10.054,8.810367926,9.830162598,8.04,0
4,8.366,7.369544142,8.533585938,6.739,0
4,9.101,8.096169519,9.577949219,7.558,1
4,8.754,7.917812067,9.340571777,7.198,0
4,6.063,5.09715778,6.582449219,4.654,1
4,6.109,5.394075946,6.242171387,5.065,1
4,8.29,7.441526502,9.0458125,7.074,1
4,7.145,5.986737489,6.916516602,5.487,1
4,7.721,6.47854841,8.34376416,5.65,0
4,11.502,11.50154478,11.50154478,9.951,0
4,11.366,11.36564396,11.36564396,11.36564396,0
4,10.918,10.27690819,10.79384277,8.89,0
4,10.373,8.482004559,11.95850537,7.739,0
4,9.855,8.633791115,10.66702539,7.919,0
4,11.969,11.96923464,11.96923464,11.242,0
4,7.362,5.663969196,10.35861182,4.994,0
4,11.613,11.28998255,11.39813135,9.584,0
4,10.306,9.539637669,10.492271,8.648,0
4,11.522,11.52166949,11.52166949,11.52166949,0
4,7.903,6.597322348,7.214412598,6.033,0
4,9.702,7.594878554,12.50576025,7.332,0
4,11.774,11.24035158,11.35499951,10.612,0
4,7.372,5.382604509,10.32422559,5.028,0
4,6.249,4.945581616,7.379305664,4.801,0
4,8.566,7.005413968,10.08088232,6.715,1
4,8.87,7.543324976,9.851644043,6.782,0
4,6.73,5.3020299,6.267529297,4.59,1
4,8.178,7.019937524,8.676393066,6.633,0
4,8.459,6.727155631,10.76808936,6.524,1
4,6.268,4.980995169,6.354939941,4.66,0
4,6.555,5.476882606,7.447276367,5.152,0
4,10.479,9.964369522,10.02911621,8.614,0
4,14.501,14.50099126,14.50099126,14.348,0
4,8.049,7.104305405,9.454421875,6.715,1
4,7.46,6.34061477,8.136562988,5.785,1
4,6.338,5.065845509,6.249231934,4.749,1
4,7.384,6.029011932,6.736405273,5.547,1
4,7.347,5.919713657,8.034781738,5.82,0
4,6.926,5.542174677,7.368092285,5.21,1
4,9.187,8.057687608,9.798611328,7.389,1
4,6.449,5.376866741,8.581138672,4.919,1
4,6.533,5.062108706,9.329888184,4.75,1
4,8.79,7.47742716,9.938377441,6.926,1
4,9.36,7.797594032,10.32035107,7.391,1
4,7.531,5.97562699,9.500397461,5.736,1
4,9.245,7.218449789,11.78664111,6.983,1
4,7.708,6.447265583,9.515208008,5.782,0
4,6.73,5.625464544,7.652605469,5.318,1
4,8.3,6.241557958,9.775840332,5.832,0
4,11.63,8.635613712,11.97105908,6.631,0
4,8.993,6.927270551,10.07214258,6.118,0
4,7.842,6.737885281,7.945909668,6.207,0
4,7.783,6.566307739,7.110583984,6.35,0
4,7.365,6.061797486,7.033247559,5.763,0
4,7.18,6.015789956,8.940532227,5.572,0
4,14.223,14.22308039,14.22308039,13.65,0
4,8.558,6.968996842,10.98306689,6.381,0
4,6.409,5.111206496,7.614067383,4.954,0
4,5.889,5.114286041,7.630654785,4.963,0
4,6.523,5.185894343,7.130388184,4.81,0
4,6.918,6.004156896,8.650566406,5.707,0
4,7.288,5.837878634,9.786499023,5.667,0
4,6.386,5.227710164,9.652819336,5.06,0
4,7.745,7.097884946,8.324611328,5.995,0
4,6.057,5.34406793,7.885848145,5.025,0
4,13.043,13.04261587,13.04261587,12.564,0
4,9.212,7.81026287,7.792041992,6.832,0
4,7.639,6.345636995,6.487571777,5.644,0
4,6.645,5.878850248,5.93823291,5.041,1
4,6.399,5.320055004,5.991350586,5.039,1
4,8.143,7.741849938,8.207742188,7.549,0
4,8.929,8.227166388,8.470905273,7.568,1
